game_id,game_date,home_id,away_id,home_abbreviation,home_display_name,away_abbreviation,away_display_name,home_rest_days,away_rest_days,home_b2b,away_b2b,home_predictive_net_rating,season_games_played_x,home_pace,away_predictive_net_rating,season_games_played_y,away_pace,avg_pace,base_margin,rest_diff,expected_home_margin,margin_sigma,home_win_probability,away_win_probability,model_version
401857205,2026-09-20,17,14,LV,Las Vegas Aces,SEA,Seattle Storm,2,0,False,True,2.6998252398093499,38,79.458538011695907,-6.4487833523421445,37,80.760900900900893,80.109719456298393,7.3289246773273717,2,10.278924677327371,12.096350411887235,0.80226912358650782,0.19773087641349218,v1_heuristic_margin
401857206,2026-09-21,9,20,NY,New York Liberty,ATL,Atlanta Dream,0,1,True,False,4.5075405901387615,37,79.798258258258258,8.0528561640489649,36,80.560185185185176,80.179221721721717,-2.8426064347401927,-1,-2.4426064347401928,12.096350411887235,0.41998603461978012,0.58001396538021988,v1_heuristic_margin
401857207,2026-09-21,11,3,PHX,Phoenix Mercury,DAL,Dallas Wings,1,1,False,False,-3.7539753676457104,36,79.320493827160504,0.7909013786877126,37,78.884444444444441,79.102469135802465,-3.5951097255286588,0,-2.0951097255286588,12.096350411887235,0.43124640244095774,0.56875359755904231,v1_heuristic_margin
401857208,2026-09-22,16,18,WSH,Washington Mystics,CON,Connecticut Sun,1,1,False,False,1.3418512814706698,35,77.206349206349202,-11.903707538823397,35,79.278222222222226,78.242285714285714,10.363627976628257,0,11.863627976628257,12.096350411887235,0.83664467737208081,0.16335532262791919,v1_heuristic_margin
401857209,2026-09-22,5,8,IND,Indiana Fever,MIN,Minnesota Lynx,1,1,False,False,6.4513402151189858,37,81.719459459459458,11.258006207233164,37,79.911351351351342,80.8154054054054,-3.8845266080108245,0,-2.3845266080108245,12.096350411887235,0.42186377538661629,0.57813622461338365,v1_heuristic_margin
401857210,2026-09-22,19,131935,CHI,Chicago Sky,TOR,Toronto Tempo,2,1,False,False,-2.3284063387107001,36,82.344814814814811,-11.269010549829666,35,80.203365079365085,81.274089947089948,7.2663947083581402,1,9.1163947083581398,12.096350411887235,0.77446980266194254,0.22553019733805746,v1_heuristic_margin
401857211,2026-09-22,17,6,LV,Las Vegas Aces,LA,Los Angeles Sparks,1,1,False,False,2.6998252398093499,38,79.458538011695907,-7.3887125928903439,36,81.676604938271609,80.567571474983765,8.1280899291411028,0,9.6280899291411028,12.096350411887235,0.78696944676886882,0.21303055323113118,v1_heuristic_margin
401857212,2026-09-22,132052,129689,POR,Portland Fire,GS,Golden State Valkyries,1,2,False,False,-4.6644716887598872,35,79.183047619047628,8.3995949608324434,35,74.795428571428573,76.989238095238107,-10.057925377775236,-1,-8.9079253777752356,12.096350411887235,0.23073930342885335,0.7692606965711466,v1_heuristic_margin
401857213,2026-09-23,9,20,NY,New York Liberty,ATL,Atlanta Dream,1,1,False,False,4.5075405901387615,37,79.798258258258258,8.0528561640489649,36,80.560185185185176,80.179221721721717,-2.8426064347401927,0,-1.3426064347401927,12.096350411887235,0.45581107292676482,0.54418892707323518,v1_heuristic_margin
401857214,2026-09-23,14,3,SEA,Seattle Storm,DAL,Dallas Wings,2,1,False,False,-6.4487833523421445,37,80.760900900900893,0.7909013786877126,37,78.884444444444441,79.822672672672667,-5.7789098453834251,1,-3.928909845383425,12.096350411887235,0.37266574573907751,0.62733425426092249,v1_heuristic_margin
401857215,2026-09-24,18,131935,CON,Connecticut Sun,TOR,Toronto Tempo,1,1,False,False,-11.903707538823397,35,79.278222222222226,-11.269010549829666,35,80.203365079365085,79.740793650793648,-0.50611241630129167,0,0.99388758369870833,12.096350411887235,0.53274194997246083,0.46725805002753917,v1_heuristic_margin
401857216,2026-09-24,16,19,WSH,Washington Mystics,CHI,Chicago Sky,1,1,False,False,1.3418512814706698,35,77.206349206349202,-2.3284063387107001,36,82.344814814814811,79.775582010582013,2.9279693777874241,0,4.4279693777874236,12.096350411887235,0.6428392107620361,0.3571607892379639,v1_heuristic_margin
401857217,2026-09-24,8,5,MIN,Minnesota Lynx,IND,Indiana Fever,1,1,False,False,11.258006207233164,37,79.911351351351342,6.4513402151189858,37,81.719459459459458,80.8154054054054,3.8845266080108245,0,5.3845266080108249,12.096350411887235,0.67188942935359663,0.32811057064640337,v1_heuristic_margin
401857218,2026-09-24,6,129689,LA,Los Angeles Sparks,GS,Golden State Valkyries,1,1,False,False,-7.3887125928903439,36,81.676604938271609,8.3995949608324434,35,74.795428571428573,78.236016754850084,-12.352142943037823,0,-10.852142943037823,12.096350411887235,0.18482159817226951,0.81517840182773049,v1_heuristic_margin
401857219,2026-09-24,11,17,PHX,Phoenix Mercury,LV,Las Vegas Aces,2,1,False,False,-3.7539753676457104,36,79.320493827160504,2.6998252398093499,38,79.458538011695907,79.389515919428206,-5.1236410606636893,1,-3.2736410606636892,12.096350411887235,0.39333762717426507,0.60666237282573499,v1_heuristic_margin
